epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,60.95,0.96988,0.79409,1.35014,0.91137,1,0.995,0.94525,0.73552,0.58672,1.00256,0.000326188,0.000326188,0.000326188
44,61.8231,0.88897,1.00058,1.1768,0.95229,1,0.995,0.84575,0.76322,0.45653,0.99999,0.000315919,0.000315919,0.000315919
45,62.632,0.77452,0.91149,1.11247,0.95229,1,0.995,0.84575,0.76322,0.45653,0.99999,0.000304825,0.000304825,0.000304825
46,63.6031,1.08535,1.14759,1.36531,0.96474,1,0.995,0.796,0.86743,0.4355,1.01927,0.000292906,0.000292906,0.000292906
47,64.631,0.66443,0.71137,1.01947,0.96474,1,0.995,0.796,0.86743,0.4355,1.01927,0.000280162,0.000280162,0.000280162
48,65.7095,0.6004,0.78047,1.11033,0.94109,1,0.995,0.796,0.89771,0.43441,1.02779,0.000266594,0.000266594,0.000266594
49,66.5005,0.65286,0.87006,1.05222,0.94109,1,0.995,0.796,0.89771,0.43441,1.02779,0.0002522,0.0002522,0.0002522
50,67.312,1.14275,1.18908,1.36278,0.92258,1,0.995,0.84575,0.90256,0.43997,1.03194,0.000236981,0.000236981,0.000236981
51,68.7773,0.85736,1.26241,0.88187,0.92258,1,0.995,0.84575,0.90256,0.43997,1.03194,0.00021875,0.00021875,0.00021875
52,70.0948,0.73513,1.22426,1.02068,0.91015,1,0.995,0.84575,0.87162,0.45151,1.00296,0.000198125,0.000198125,0.000198125
53,70.858,0.46472,0.66551,0.86732,0.91015,1,0.995,0.84575,0.87162,0.45151,1.00296,0.0001775,0.0001775,0.0001775
54,71.6872,0.50844,0.60528,0.94534,0.91768,1,0.995,0.84575,0.87308,0.49263,0.99243,0.000156875,0.000156875,0.000156875
55,72.4368,0.68749,0.80812,0.9526,0.91768,1,0.995,0.84575,0.87308,0.49263,0.99243,0.00013625,0.00013625,0.00013625
56,73.2363,0.61693,0.98504,0.92282,0.93832,1,0.995,0.796,0.83488,0.55881,0.9974,0.000115625,0.000115625,0.000115625
57,74.0046,0.56312,0.71532,0.95849,0.93832,1,0.995,0.796,0.83488,0.55881,0.9974,9.5e-05,9.5e-05,9.5e-05
58,76.3703,0.55503,0.93669,0.85249,0.94827,1,0.995,0.84575,0.7995,0.53359,0.97587,7.4375e-05,7.4375e-05,7.4375e-05
59,77.4555,0.42797,0.69693,0.94311,0.94827,1,0.995,0.84575,0.7995,0.53359,0.97587,5.375e-05,5.375e-05,5.375e-05
60,78.4564,0.42776,0.68143,0.92013,0.96581,1,0.995,0.6965,0.80818,0.51509,0.97506,3.3125e-05,3.3125e-05,3.3125e-05
